experiment,variant,images,vertebrae,old_IDR_correct,old_IDR_percent,IDR2_correct,IDR2_percent,IRA_exact_images,IRA_percent,old_IDR_false_accepts
wo.CLIP2SAM,original,253,2360,1046,44.3220,482,20.4237,28,11.0672,564
wo.CLIP2SAM,original_post,253,2360,1410,59.7458,1133,48.0085,137,54.1502,277
wo.CLIP2SAM,crf,253,2360,1297,54.9576,610,25.8475,51,20.1581,687
wo.CLIP2SAM,crf_post,253,2360,1580,66.9492,1310,55.5085,157,62.0553,270
wo.SAM2CLIP,original,253,2360,1002,42.4576,345,14.6186,7,2.7668,657
wo.SAM2CLIP,original_post,253,2360,1137,48.1780,721,30.5508,89,35.1779,416
wo.SAM2CLIP,crf,253,2360,1114,47.2034,260,11.0169,0,0.0000,854
wo.SAM2CLIP,crf_post,253,2360,1562,66.1864,1014,42.9661,129,50.9881,548
wo.RSCE,original,253,2360,1637,69.3644,1357,57.5000,115,45.4545,280
wo.RSCE,original_post,253,2360,2130,90.2542,1864,78.9831,211,83.3992,266
wo.RSCE,crf,253,2360,1883,79.7881,1544,65.4237,142,56.1265,339
wo.RSCE,crf_post,253,2360,2078,88.0508,1891,80.1271,213,84.1897,187
CLIP replacing MedCLIP,original,253,2360,2105,89.1949,1737,73.6017,165,65.2174,368
CLIP replacing MedCLIP,original_post,253,2360,2206,93.4746,1897,80.3814,214,84.5850,309
CLIP replacing MedCLIP,crf,253,2360,2152,91.1864,1784,75.5932,167,66.0079,368
CLIP replacing MedCLIP,crf_post,253,2360,2212,93.7288,1926,81.6102,217,85.7708,286
Ours,original,253,2360,2245,95.1271,1864,78.9831,189,74.7036,381
Ours,original_post,253,2360,2271,96.2288,1990,84.3220,221,87.3518,281
Ours,crf,253,2360,2248,95.2542,1872,79.3220,191,75.4941,376
Ours,crf_post,253,2360,2259,95.7203,1976,83.7288,219,86.5613,283
